bk,name,pct_chg,price,turnover,volume_ratio,total_mv,float_mv,amount,_fetched_at
BK0984,华为汽车,1.56,2200.55,1.64,0.91,1833724736000,1651445296000,36812460230.0,2026-08-17T23:41:54.393072+08:00
BK0729,船舶制造,1.55,1213.94,1.11,0.95,754471760000,556321648000,7632327868.0,2026-08-17T23:41:54.393072+08:00
BK0991,工程机械概念,1.54,1617.88,0.89,0.88,1080265296000,933810448000,9276592909.0,2026-08-17T23:41:54.393072+08:00
BK1663,大盘股,1.54,1015.65,0.61,0.96,73669918720000,54537390592000,795202684884.0,2026-08-17T23:41:54.393072+08:00
BK0947,屏下摄像,1.53,914.63,4.37,1.25,572604784000,528584976000,23075833012.0,2026-08-17T23:41:54.393072+08:00
BK1698,股权集中,1.53,1070.62,0.39,0.91,5147924224000,3815389136000,32479264601.0,2026-08-17T23:41:54.393072+08:00
BK0701,中证500,1.53,2617.73,1.59,0.89,19417198336000,16367019008000,448608373152.0,2026-08-17T23:41:54.393072+08:00
BK0925,北交所概念,1.52,2200.36,3.17,1.2,323622768000,295584112000,11696562700.0,2026-08-17T23:41:54.393072+08:00
BK0821,MSCI中国,1.52,1509.45,0.85,0.94,85685538816000,64293064960000,1084498011244.0,2026-08-17T23:41:54.393072+08:00
BK0733,包装材料,1.52,1244.29,1.6,0.79,147789765000,135937503000,2705968261.0,2026-08-17T23:41:54.393072+08:00
BK0832,工业互联网,1.52,2589.56,2.0,0.94,6068784384000,5379442176000,111295778509.0,2026-08-17T23:41:54.393072+08:00
BK0743,深证100R,1.51,1354.04,1.56,1.05,18261157120000,15637213696000,309908261702.0,2026-08-17T23:41:54.393072+08:00
BK1662,权重股,1.5,1068.28,0.22,0.84,41896112128000,27747716608000,233778543486.0,2026-08-17T23:41:54.393072+08:00
BK1116,抗菌面料,1.49,1533.22,2.52,1.02,132813667000,105955928000,4407556174.0,2026-08-17T23:41:54.393072+08:00
BK0852,冷链物流,1.49,2053.97,2.14,1.11,1607003920000,1435958928000,31543150133.0,2026-08-17T23:41:54.393072+08:00
BK0712,一带一路,1.49,1555.86,0.91,0.98,16392130048000,13906333440000,212809877937.0,2026-08-17T23:41:54.393072+08:00
BK1672,破发股,1.48,956.86,1.43,0.87,4707794176000,3986983824000,67174059280.0,2026-08-17T23:41:54.393072+08:00
BK1639,周期股,1.48,944.76,0.84,0.95,24247353856000,18761976832000,210563124850.0,2026-08-17T23:41:54.393072+08:00
BK1080,新型城镇化,1.48,1090.13,2.34,0.88,530120672000,462273408000,20324542688.0,2026-08-17T23:41:54.393072+08:00
BK0567,股权激励,1.47,3741.41,2.31,0.98,5533372160000,4972470784000,136260192144.0,2026-08-17T23:41:54.393072+08:00
BK1134,算力概念,1.46,1987.49,2.65,1.08,12316782080000,9157819136000,310002585438.0,2026-08-17T23:41:54.393072+08:00
BK1069,智慧灯杆,1.46,1722.92,3.77,1.0,149827519000,134911376000,6001229834.0,2026-08-17T23:41:54.393072+08:00
BK1169,Kimi概念,1.46,1128.01,3.65,0.89,477705680000,449449744000,18054601384.0,2026-08-17T23:41:54.393072+08:00
BK0897,IPv6,1.45,1424.19,2.78,1.3,632957616000,594950848000,35800026084.0,2026-08-17T23:41:54.393072+08:00
BK1064,东数西算,1.45,1914.53,3.57,0.98,1772441360000,1534831936000,82757200948.0,2026-08-17T23:41:54.393072+08:00
BK0665,电商概念,1.44,2222.78,2.46,1.09,5616173824000,5009556736000,100041938548.0,2026-08-17T23:41:54.393072+08:00
BK1699,股权分散,1.43,1136.21,3.44,0.91,4341685248000,3778539904000,171733550024.0,2026-08-17T23:41:54.393072+08:00
BK0861,数字孪生,1.42,1589.53,2.04,1.05,1066811552000,916029440000,26142531502.0,2026-08-17T23:41:54.393072+08:00
BK0597,水利建设,1.41,1964.35,1.46,0.86,2154228848000,1981269952000,30008786611.0,2026-08-17T23:41:54.393072+08:00
BK1628,2025三季报扭亏,1.41,894.8,1.55,0.85,140341432000,126802476000,4463307350.0,2026-08-17T23:41:54.393072+08:00
BK1022,职业教育,1.4,1302.91,3.21,0.83,613792304000,574423104000,18260824752.0,2026-08-17T23:41:54.393072+08:00
BK0882,猪肉概念,1.4,1178.58,1.99,1.06,724729808000,596451696000,8465516826.0,2026-08-17T23:41:54.393072+08:00
BK0590,西部大开发,1.39,3435.32,1.81,0.94,12783241472000,11701555968000,255253344543.0,2026-08-17T23:41:54.393072+08:00
BK0425,工程建设,1.39,25290.58,0.92,0.94,1323106384000,1175617056000,20404738546.0,2026-08-17T23:41:54.393072+08:00
BK1119,PLC概念,1.39,1517.08,1.32,0.8,360030688000,313586112000,4579565400.0,2026-08-17T23:41:54.393072+08:00
